[2.14,0.0]
[0.681764148604,-17.2400392421]
[0.707251349881,-17.16571574]
[0.7326264199,-17.0886706972]
[0.757885335568,-17.008916329]
[0.783024092207,-16.9264652798]
[0.808038704189,-16.841330622]
[0.832925205569,-16.7535258533]
[0.857679650714,-16.6630648946]
[0.882298114927,-16.5699620881]
[0.90677669507,-16.4742321948]
[0.931111510184,-16.3758903923]
[0.955298702102,-16.274952272]
[0.979334436063,-16.1714338373]
[1.00321490132,-16.0653515006]
[1.02693631174,-15.9567220805]
[1.0504949064,-15.8455627999]
[1.07388695022,-15.7318912825]
[1.09710873448,-15.6157255504]
[1.1201565775,-15.4970840209]
[1.14302682515,-15.3759855043]
[1.16571585147,-15.2524492001]
[1.18822005921,-15.1264946943]
[1.21053588045,-14.9981419564]
[1.23265977711,-14.8674113362]
[1.25458824158,-14.7343235603]
[1.27631779718,-14.5988997291]
[1.29784499882,-14.4611613135]
[1.31916643345,-14.3211301512]
[1.34027872066,-14.1788284434]
[1.36117851322,-14.0342787514]
[1.38186249754,-13.8875039929]
[1.4023273943,-13.7385274382]
[1.42256995888,-13.5873727069]
[1.44258698192,-13.4340637639]
[1.46237528981,-13.2786249154]
[1.48193174523,-13.1210808057]
[1.50125324758,-12.9614564124]
[1.52033673355,-12.7997770434]
[1.53917917752,-12.636068332]
[1.55777759214,-12.4703562336]
[1.5761290287,-12.3026670209]
[1.59423057768,-12.1330272802]
[1.61207936916,-11.9614639072]
[1.62967257331,-11.7880041023]
[1.64700740081,-11.6126753667]
[1.66408110331,-11.435505498]
[1.68089097385,-11.2565225856]
[1.69743434732,-11.0757550064]
[1.71370860083,-10.8932314201]
[1.72971115419,-10.7089807651]
[1.74543947027,-10.5230322533]
[1.76089105542,-10.335415366]
[1.77606345987,-10.1461598489]
[1.79095427811,-9.95529570754]
[1.80556114926,-9.76285320255]
[1.81988175749,-9.56886284472]
[1.83391383233,-9.37335539029]
[1.84765514906,-9.17636183601]
[1.86110352906,-8.97791341424]
[1.87425684017,-8.77804158802]
[1.88711299698,-8.57677804606]
[1.89966996121,-8.37415469769]
[1.91192574202,-8.17020366788]
[1.92387839631,-7.96495729207]
[1.93552602905,-7.75844811106]
[1.94686679357,-7.55070886589]
[1.95789889184,-7.34177249259]
[1.96862057477,-7.13167211702]
[1.97903014249,-6.92044104956]
[1.98912594463,-6.70811277987]
[1.99890638053,-6.49472097157]
[2.00836989956,-6.28029945688]
[2.01751500132,-6.0648822313]
[2.0263402359,-5.84850344818]
[2.03484420411,-5.63119741331]
[2.04302555767,-5.41299857951]
[2.05088299948,-5.19394154115]
[2.05841528378,-4.97406102865]
[2.06562121636,-4.753391903]
[2.07249965476,-4.53196915021]
[2.07904950843,-4.30982787577]
[2.08526973892,-4.08700329912]
[2.09115936005,-3.86353074799]
[2.09671743804,-3.63944565288]
[2.1019430917,-3.41478354138]
[2.10683549252,-3.18958003258]
[2.11139386482,-2.9638708314]
[2.11561748591,-2.73769172293]
[2.11950568616,-2.51107856677]
[2.12305784909,-2.28406729133]
[2.12627341155,-2.05669388815]
[2.1291518637,-1.82899440616]
[2.1316927492,-1.60100494602]
[2.13389566519,-1.37276165434]
[2.13576026242,-1.14430071798]
[2.13728624526,-0.915658358321]
[2.13847337177,-0.686870825485]
[2.13932145374,-0.457974392624]
[2.13983035671,-0.229005350154]
[2.14,-4.45470171777e-15]
